0,1
ANDAMAN & NICOBAR,SOUTH ANDAMAN
NAGALAND,DIMAPUR
NAGALAND,MOKOKCHUNG
NAGALAND,LONGLENG
NAGALAND,WOKHA
NAGALAND,ZUNHEBOTO
NAGALAND,KIPHIRE
NAGALAND,PEREN
DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI
MEGHALAYA,WEST KHASI HILLS
MEGHALAYA,RI BHOI
MEGHALAYA,WEST GARO HILLS
MEGHALAYA,EAST KHASI HILLS
MEGHALAYA,SOUTH GARO HILLS
PONDICHERRY,MAHE
PONDICHERRY,KARAIKAL
PONDICHERRY,YANAM
GOA,NORTH GOA
Ladakh,Ladakh dist1
LAKSHDWEEP,LAKSHADWEEP
MANIPUR,CHANDEL
MANIPUR,TAMENGLONG
MANIPUR,IMPHAL EAST
MANIPUR,THOUBAL
MANIPUR,UKHRUL
MANIPUR,BISHNUPUR
HARYANA,PALWAL
HARYANA,MEWAT
DELHI,WEST
DELHI,NORTH WEST
DELHI,SOUTH
DELHI,NEW DELHI
DELHI,NORTH
DELHI,EAST
DELHI,SOUTH WEST
DELHI,NORTH EAST
DAMAN & DIU,DAMAN
JAMMU & KASHMIR,SAMBA
JAMMU & KASHMIR,RAJOURI
